word	Fscore
area.n	0.674
authority.n	0.641
base.n	0.572
bill.n	0.727
capital.n	0.95
carrier.n	0.722
chance.n	0.557
condition.n	0.752
defense.n	0.363
development.n	0.68
drug.n	0.839
effect.n	0.754
exchange.n	0.694
future.n	0.758
hour.n	0.866
job.n	0.782
management.n	0.712
move.n	0.969
network.n	0.79
order.n	0.884
part.n	0.665
people.n	0.871
plant.n	0.936
point.n	0.779
policy.n	0.963
position.n	0.491
power.n	0.652
president.n	0.718
rate.n	0.832
share.n	0.959
source.n	0.552
space.n	0.767
state.n	0.713
system.n	0.519
value.n	0.975
