word	Fscore
affect.v	0.774
allow.v	0.813
announce.v	0.571
approve.v	0.956
ask.v	0.524
attempt.v	1
avoid.v	0.667
begin.v	0.656
believe.v	0.578
build.v	0.693
buy.v	0.665
care.v	0.722
cause.v	0.854
claim.v	0.751
come.v	0.415
complain.v	0.827
complete.v	0.719
contribute.v	0.667
describe.v	0.643
disclose.v	0.54
do.v	0.689
end.v	0.587
enjoy.v	0.673
estimate.v	1
examine.v	0.8
exist.v	1
explain.v	0.831
express.v	0.667
feel.v	0.539
find.v	0.566
fix.v	0.667
go.v	0.465
grant.v	0.778
hold.v	0.388
hope.v	0.731
improve.v	0.769
join.v	0.496
keep.v	0.389
kill.v	0.451
lead.v	0.45
maintain.v	0.82
need.v	0.722
negotiate.v	0.8
occur.v	0.797
prepare.v	0.549
produce.v	0.549
promise.v	0.617
propose.v	0.582
prove.v	0.687
purchase.v	0.636
raise.v	0.376
recall.v	0.923
receive.v	0.916
regard.v	0.662
remember.v	0.818
remove.v	0.786
replace.v	0.846
report.v	0.685
rush.v	1
say.v	0.933
see.v	0.477
set.v	0.414
start.v	0.427
turn.v	0.329
work.v	0.467
