word	Fscore
area.n	0.696
authority.n	0.592
base.n	0.559
bill.n	0.485
capital.n	0.885
carrier.n	0.722
chance.n	0.582
condition.n	0.75
defense.n	0.542
development.n	0.684
drug.n	0.625
effect.n	0.754
exchange.n	0.692
future.n	0.89
hour.n	0.508
job.n	0.782
management.n	0.721
move.n	0.386
network.n	0.64
order.n	0.722
part.n	0.487
people.n	0.777
plant.n	0.742
point.n	0.529
policy.n	0.652
position.n	0.554
power.n	0.688
president.n	0.722
rate.n	0.664
share.n	0.504
source.n	0.42
space.n	0.444
state.n	0.739
system.n	0.456
value.n	0.595
