word	Fscore
affect.v	0.643
allow.v	0.792
announce.v	0.571
approve.v	0.544
ask.v	0.614
attempt.v	0.462
avoid.v	0.769
begin.v	0.542
believe.v	0.764
build.v	0.69
buy.v	0.536
care.v	0.762
cause.v	0.554
claim.v	0.519
come.v	0.306
complain.v	0.524
complete.v	0.436
contribute.v	0.591
describe.v	0.848
disclose.v	0.635
do.v	0.612
end.v	0.587
enjoy.v	0.513
estimate.v	0.316
examine.v	0.5
exist.v	0.778
explain.v	0.772
express.v	0.824
feel.v	0.708
find.v	0.771
fix.v	1
go.v	0.42
grant.v	0.52
hold.v	0.34
hope.v	0.706
improve.v	0.4
join.v	0.52
keep.v	0.495
kill.v	0.659
lead.v	0.479
maintain.v	0.654
need.v	0.722
negotiate.v	0.364
occur.v	0.727
prepare.v	0.562
produce.v	0.716
promise.v	0.767
propose.v	0.359
prove.v	0.628
purchase.v	0.636
raise.v	0.457
recall.v	0.493
receive.v	0.941
regard.v	0.444
remember.v	0.818
remove.v	0.583
replace.v	0.75
report.v	0.685
rush.v	0.727
say.v	0.608
see.v	0.418
set.v	0.355
start.v	0.449
turn.v	0.281
work.v	0.552
